,бій,А3,А3,А3,А3,Б3,Б3,Б3,Б3,В3,В3,В3,В3,Г3,Г3,Г3,Г3,Ґ3,Ґ3,Ґ3,Ґ3,Д3,Д3,Д3,Д3,Е3,Е3,Е3,Е3,Є3,Є3,Є3,Є3,Ж3,Ж3,Ж3,Ж3,З3,З3,З3,З3,И3,И3,И3,И3,І3,І3,І3,І3,Ї3,Ї3,Ї3,Ї3,Й3,Й3,Й3,Й3,К3,К3,К3,К3,Л3,Л3,Л3,Л3,М3,М3,М3,М3,Н3,Н3,Н3,Н3,О3,О3,О3,О3,П3,П3,П3,П3,Р3,Р3,Р3,Р3,С3,С3,С3,С3,Т3,Т3,Т3
"2. Прикметники, утворені від країн","30. Фріц Болькенштайн творець «Директиви ЄС про послуги на внутрішньому ринку», на одній прес-конференції заявив, що волів би найняти ЙОГО.
Відповідь: польський сантехнік
Коментар: так термін “польський сантехнік” набув популярності в західній Європі для позначення дешевої робочої сили зі східної Європи.
Джерело: https://uk.wikipedia.org/wiki/Польський_сантехнік
Автор: Євген Шляхов (Дніпро)",,1,,,,,1,,,1,,,,,,,1,,,,,,,1,,,1,,,,1,,,,1,,,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,-1,,,,,,,,,,,,-1,,,-1,,,,,,,,,1
"2. Прикметники, утворені від країн","40. В одній пізнавальній передачі вказувалось, що ЦЯ ФРАЗА, насправді мало відповідає дійсності, адже зазвичай обвинувачений мав тридцять днів, щоб підготувати власний захист.
Відповідь: ніхто не очікував іспанську інквізицію
Коментар: фраза вперше прозвучала у скетчі “Монті Пайтон” 1970 року. Насправді ж іспанська інквізиція зазвичай за 30 днів попереджала про свій прихід майбутнього обвинуваченого у єресі.
Джерело: https://arzamas.academy/materials/263
Автор: Євген Шляхов (Дніпро)",,,,,1,,,,,,,,,,,,,,,-1,,-1,-1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Прикметники, утворені від країн","50. Пальцями заголовного персонажа ЦЬОГО ФІЛЬМУ 2016 року можна висікати іскри, а з рота ллється питна вода - справжня магія.
Відповідь: “Людина - швейцарський ніж”
Коментар: трагікомедія про людину, що на безлюдному острові натикається на труп, якому знаходить різні незвичайні застосування. Роль трупа зіграв Деніел Редкліфф, тому “магія” в цьому питанні є невеличкою підказкою.
Джерело: https://ru.wikipedia.org/wiki/Людина_—_швейцарський_ніж
Автор: Євген Шляхов (Дніпро)",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,
3. Б.Т.,"10. ВІН - назва фільму в якому Сіта, прямуючи до Ешнапура, ледь не стає жертвою людожера. В світі ЇХ залишилось близько шести тисяч.
Відповідь: Бенгальский тигр
Коментар: дії фільму відбувають в Індії, людожером є тигр. 
Джерело: https://uk.wikipedia.org/wiki/Бенгальський_тигр_(фільм,_1959), https://uk.wikipedia.org/wiki/Бенгальський_тигр
Автор: Євген Шляхов (Дніпро)",,,1,,-1,1,,,,,,1,-1,,,1,,,,1,-1,,,1,,,1,,,,-1,1,,1,,,,1,,-1,,1,,,1,,,,1,,,,1,,,,,,1,,,,1,,1,,,,1,,-1,,1,,,,1,,,,,,,1,,,,1,1,,
3. Б.Т.,"20. “ЕзпАта дАнза” - традиційний ВІН, що виконується з мечами. Фестиваль езпата данза відбувається щорічно в околиця Сан-Себастьяну.
Відповідь: баскський танець
Джерело: https://www.sansebastianturismoa.eus/en/blog/day-trips/3496-summer-arrives-in-urola-garaia-with-the-ezpata-dantza-traditional-sword-dance
Автор: Євген Шляхов (Дніпро)",1,,-1,,,1,,,,,1,,1,-1,,,,-1,1,,1,-1,,-1,,,,1,,1,,,,,1,,,,,1,,,,1,,-1,,1,,-1,1,,1,,,,-1,,1,,,1,,,1,-1,-1,,,,-1,,1,,,-1,1,,,,,-1,,,,,1,,1,,
3. Б.Т.,"30. ЇЇ величезна для свого часу висота обумовлена тим, що НДР було не визнане багатьма країнами і тому отримало дуже мало доступних частот.
Відповідь: Берлінська телевежа
Коментар: для того щоб забеспечити якісне покриття телевізійним сигналом всього Східного Берліну за наявності малого вибору частот потрібна була дуже висока телевежа.
Джерело: https://uk.wikipedia.org/wiki/Берлінська_телевежа
Автор: Євген Шляхов (Дніпро)",1,,,,,1,,,,,1,,1,,,-1,,,,1,,,1,,,,,1,,,,,,-1,-1,1,,,,1,,1,,,,1,,,,1,,-1,,,,1,1,,,,,,,1,,,1,,-1,,,1,1,,,,,,,,,,,1,,1,,,,,1
3. Б.Т.,"40. У 1891 році четверо харківських студентів відвідало Канів і вирішило створити саме ЦЕ. 
Відповідь: Братство Тарасівців
Коментар: таємне товариство, яке мало за мету поширення серед українців ідеї Кобзаря.
Джерело: https://uk.wikipedia.org/wiki/Братство_тарасівців
Автор: Євген Шляхов (Дніпро)",,,,1,1,,,,,,1,,,1,,,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,-1,,-1,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,1,
3. Б.Т.,"50. Ральф, чиїм сином був Роберт, хоча й старанно працював все життя, але став прообразом для НЬОГО.
Відповідь: бідний тато
Коментар: син Ральфа - Роберт Кійосакі став відомим бізнесменом, інвестором і письменником видавши книгу порад з фінансової грамотності “Багатий тато, бідний тато”. В образі “багатого тата” Роберт вивів батька свого друга, успішного бізнесмена, в образі бідного тата, свого працьовитого але не успішного з фінансової точки зору батька.
Джерело: https://ru.wikipedia.org/wiki/Богатый_папа,_бедный_папа, https://ru.wikipedia.org/wiki/Кийосаки,_Роберт
Автор: Євген Шляхов (Дніпро)",,,1,,,,1,,,,,,,,,,,,,,,,,,,,-1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Прізвиська,"10. Алабама отримала прізвисько “Штат НЕЇ” через успіхи у сільському господарстві, а не через новини про вибухи.
Відповідь: бавовни
Джерело: https://uk.wikipedia.org/wiki/Список_прізвиськ_штатів_США
Автор: Євген Шляхов (Дніпро)",1,-1,,,,,1,,,-1,,1,1,,,,-1,,,1,,1,,-1,,,-1,1,,-1,,1,,,,1,,,,1,1,,-1,,,1,,-1,,1,,-1,1,,,,1,,,,1,,,,,1,,,-1,1,,,-1,1,,,1,,-1,,1,,,,,-1,,1,,1,-1
4. Прізвиська,"20. ЦЕ не тільки прізвисько депутата Верховної ради України, а й один з варіантів імені для крота, маскота Донецького “Шахтаря”. Певно ім’я мало відображати історію міста.
Відповідь: Юзік
Коментар: Донецьк раніше називався Юзівка. Юзік - прізвисько Юрія КорЯвченкова, актора “95-го кварталу” і народного депутата.
Джерело: http://sport.bigmir.net/football/other/1538598-Superfan--Shahter-dal-imja-oficial-nomu-talismanu-komandy
Автор: Євген Шляхов (Дніпро)",,,1,,,,1,,,,1,,,1,,,,1,,,1,,,-1,,,,1,,1,,,,,1,,,,1,,1,,,,,,,,,,1,,,,,1,1,,,,1,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,1,,1,
4. Прізвиська,"30. Вам треба заповнити будь-який з пропусків двома словами. В сутичці ПРОПУСК переміг молодий претендент і скинув ворога в пащі гієн. Обличчя відомої людини було ПРОПУСК внаслідок сутички в нічному клубі. 
Відповідь: зі шрамом
Коментар: в мультфільмі “Король Лев” Сімба переміг Шрама. Аль Капоне мав прізвисько “Обличчя зі шрамом”, а шрам отримав в молодості працюючи в клубі в Брукліні.
Джерело: https://uk.wikipedia.org/wiki/Аль_Капоне, мільтфільм “Король Лев”
Автор: Євген Шляхов (Дніпро)",1,,,,,,1,,,,1,,,,,1,,,,1,,,,,1,,,,,,1,,1,,,,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,1,,,,1,
4. Прізвиська,"40. [Роздатковий матеріал
Wizard of oz
]
Ми роздали вам прізвисько людини, в якому пропустили одну літеру. Назвіть ЦЮ ЛЮДИНУ, яка в дитинстві жила на вулиці, що проходила поміж фруктових садів.
Відповідь: [Стів] Возняк
Коментар: Возняк має прізвисько “Wizard of Woz” і став співзасновником компанії з “фруктовою назвою”.
Джерело: https://ru.wikipedia.org/wiki/Стів_Возняк
Автор: Євген Шляхов (Дніпро)",,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,-1,,,
4. Прізвиська,"50. Під ЦИМ ПРІЗВИСЬКОМ ми знаємо ТатАнка ІйотАке, який з тисяча вісімсот вісімдесят першого по вісімдесят третій роки відбував ув’язнення у форті Рендел 
Відповідь: сидячий бик
Коментар: після поразки Сидячий Бик був змушений був кілька років просидіти в ув’язненні.
Джерело: Сидячий_Бик
Автор: Євген Шляхов (Дніпро)",-1,,,,1,,-1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
5. Опери,"10. ТАКУ НАЗВУ З ДВОХ СЛІВ має казка Галини Римар, в якій принцеса, звільняє країну від злої магії граючи на музичному інструменті.
Відповідь: “Чарівна флейта”
Коментар: так само називається і опера Моцарта
Джерело: https://mala.storinka.org/галина-римар-чарівна-флейта-казка-п%27єса.html, https://uk.wikipedia.org/wiki/Чарівна_флейта
Автор: Євген Шляхов (Дніпро)",,1,,,1,,,,1,,,,,,,1,,,,1,1,,,-1,,,,,1,,,,,,1,,,,,,,,1,,,1,,,,1,,,,1,,,,,,,,1,,,1,,,,,1,,,1,,,-1,,,,,,1,,,,1,,,,,
5. Опери,"20. Головним героєм однойменної опери Верді є горбань Ріголетто. Цікаво, що в основі опери, лежить твір “Король розважається” ЦЬОГО французького ПИСЬМЕННИКА.
Відповідь: Віктор Гюґо
Коментар: як бачимо не тільки у “Соборі Парижської Богоматері” Гюґо зробив горбаня головним героєм.
Джерело: https://uk.wikipedia.org/wiki/Ріголетто
Автор: Євген Шляхов (Дніпро)",,,1,,,,,1,,1,,,,,,1,1,,,-1,,,,1,,,,1,,1,,,,,1,,,,,1,,,1,,,,,1,,1,,,1,,,,,1,,,,,,1,,,,,1,,,,1,,,,,1,,,,1,,,,,1,,,1,
5. Опери,"30. ЦЯ ПОВІСТЬ стала основою для лібрето опери Петра Сокальського “Облога Дубно”.
Відповідь: “Тарас Бульба”
Коментар: в книзі Гоголя козаки беруть в облогу саме Дубно.
Джерело: https://uk.wikipedia.org/wiki/Українська_опера
Автор: Євген Шляхов (Дніпро)",1,,,,,,,,,1,,,,,,,,,,,,,,,,,,-1,,,,,,1,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Опери,"40. Опера Філіпа Ґласа “Ейнштейн ПРОПУСК”, опосередковано отримала назву від виразу, що серед моряків позначає “вийти у відставку”. ВІДНОВІТЬ ПРОПУСК, який можна зустріти і в назві твору азійського письменника.
Відповідь: на пляжі
Коментар: в 2002 вийшов роман Муракамі “Кафка на пляжі”.
Джерело: https://uk.wikipedia.org/wiki/Кафка_на_пляжі, https://en.wikipedia.org/wiki/Einstein_on_the_Beach, https://en.wikipedia.org/wiki/On_the_Beach_(novel)
Автор: Євген Шляхов (Дніпро)",,1,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,-1,,,,
5. Опери,"50. В американському фільмі дівчина збирається на побачення і відзначає, що ЦЯ НАЗВА не достатньо похмура і краще підійшла б для якоїсь опери.
Відповідь: сінг-сінг
Коментар: з англійською “Sing Sing” можна перекласти як “співати співати”. Дівчина збирається на побачення до ув’язненого.
Джерело: фільм “Сніданок у Тіффані”
Автор: Євген Шляхов (Дніпро)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Ріки,"10. Обираючи у 1994 році ЦЮ НАЗВУ засновник компанії сподівався, що різноманітність флори і фауни, характерна для регіона, викличе у покупців асоціації з різноманітністю асортименту.
Відповідь: Амазон
Джерело: https://ru.wikipedia.org/wiki/Amazon
Автор: Євген Шляхов (Дніпро)",,,,1,,,,1,,1,,,,,,1,1,,,,,,,1,1,,,,,,1,,,,1,,-1,,1,,1,,,,,1,,,1,,,,1,,,,,,1,,1,,,,1,,,,,,,1,1,,,,1,,,,1,,,,-1,,1,,,1,
6. Ріки,"20. В двадцять два роки ВІН вже був директором Житомирської муніципальної хорової капели. Але власні творчі амбіції взяли гору і разом з Віктором Скуратовським і Олександром Барановським він розпочав роботу над власним проектом.
Відповідь: [Валерій] Харчишин
Коментар: лідер гурту “Друга ріка”
Джерело: https://suspilne.media/21069-antologia-ukrainskogo-albomu-druga-rika/
Автор: Євген Шляхов (Дніпро)",,1,,,-1,,,1,,1,-1,,,,,1,,1,,,,,1,,,,,-1,-1,,1,,,,,,,,,,,,,1,,,,,-1,,,1,,,1,,,1,,,,-1,1,,,,,,,,,,,,,1,,,,-1,,1,,,1,,,,,1,
6. Ріки,"30. В цьому питанні вам треба буде ВІДТВОРИТИ У ПЕРВИННОМУ ВИГЛЯДІ СЛОВО В ЦИТАТІ, з якого ми прибрали одну літеру. Річка Го́вірка має звивисте русло. У присвяченій річці статті сказано, що біля села Жабинці́ Го́вірка мандрує долиною.
Відповідь: мЕандрує
Коментар: річка мЕандрує долиною. Тобто поводиться подібно до малоазійської річки Меандр, від якої отримав назву однойменний звивистий орнамент.
Джерело: https://www.wiki.uk-ua.nina.az/Батіг_(притока_Жвану).html
Автор: Євген Шляхов (Дніпро)",,1,,,,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,1,,1,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
6. Ріки,"40. ЦЯ МОДЕЛЬ випускалась з 1999 по 2011 роки і мала навіть люксову версію, яка, на відміну від стандартної, була оснащена центральним замком, аудіомагнітолою і підголовниками задніх крісел.
Відповідь: [ЗАЗ-1103] «Славута»
Джерело: https://uk.wikipedia.org/wiki/ЗАЗ-1103_Славута
Автор: Євген Шляхов (Дніпро)",1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,-1,1,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
6. Ріки,"50. З назвою ЦІЄЇ річки співпадає назва андроїд-застосунку, який підкаже вам, як скласти ломиголовку, якщо ви введете поточне розміщення кольорів.
Відповідь: Рубікон
Коментар: застосунок підкаже як зібрати кубик Рубіка.
Джерело: https://apkpure.com/ru/rubik-s-cube-solver-rubikon/com.uGames.RubikOn
Автор: Євген Шляхов (Дніпро)",,1,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
7. Рослини,"10. Перші два номери журналу “Червоний перець” ВІН створив разом з Еланом Блакитним.
Відповідь: Остап Вишня.
Джерело: https://uk.wikipedia.org/wiki/Остап_Вишня
Автор: Євген Шляхов (Дніпро)",1,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,,,,1,,,,,1,,,,,,1,,,1,,,,,1,,,1,,,,,1,1,,,,,,1,,1,,,,,,,,1,,,,1,,,,,,,1,,1,,,,,1
7. Рослини,"20. Стверджуючи, що Брюс Вейн виявився не достойним свого батька один з персонажів говорить, що між НИМ і НЕЮ виявилась величезна відстань.
Відповідь: яблуко, яблуня
Коментар: яблуко не впало поряд з яблунею, як у прислів’ї
Джерело: фільм «Бетмен: Початок»
Автор: Євген Шляхов (Дніпро)",,1,,,,,1,,,1,,,,,1,,,-1,,1,1,,,,1,,,,1,,,,,,1,,,1,,,1,,,,,,,1,1,,,,1,,,,,,1,,,,,1,,,1,,1,,,,1,,,,,1,,,,,,1,,,,1,,1,
7. Рослини,"30. ВОНО є загальним поняттям, адже НИМ може бути і сухоребрик високий і просо волосовидне і ще кілька видів рослин. ВОНО іноді стає причиною швидкого поширення пожеж.
Відповідь: перекотиполе
Коментар: підхоплене вітром перекотиполе може швидко переносити вогонь, поширюючи степову пожежу.
Джерело: https://uk.wikipedia.org/wiki/Перекотиполе
Автор: Євген Шляхов (Дніпро)",,,,1,,,1,,1,,,,1,,,,,,,,,,,1,,,,,,,,1,1,,,,,-1,,,,,1,,,,,,,,,,,,,-1,,,,,,1,,,,,,,-1,,1,,,,,1,,1,,,,,,1,1,,,,1,,
7. Рослини,"40. Цитронелла - інша назва ЦІЄЇ ТРАВ’ЯНИСТОЇ РОСЛИНИ, яку, зокрема, часто додають у карі та азійські супи.
Відповідь: лемонграсс
Залік: цимбопогон, лимонне сорго, лимонний злак.
Не залік: лимон.
Коментар: цитрон - перекладається як лимон, грасс - трава.
Джерело: https://uk.wikipedia.org/wiki/Цимбопогон 
Автор: Євген Шляхов (Дніпро)",,1,,,,1,,,1,,,,,,,,,,1,,,,,1,,1,,,,,1,,,,-1,,,,,,1,,-1,,,1,,,,,1,,,,,1,,,,,,1,,,1,,,,,,1,,,1,,,,,,,,1,,,,1,,,,,
7. Рослини,"50. У відповіді три слова. В одному з епізодів дитячої книги Щур чує ніби чарівну музику сопілки, а більш приземлений Кріт вважає, що джерелом звуку є ВІН.
Відповідь: вітер у вербах.
Залік: вітер у верболозі
Коментар: Щур і Кріт - герої роману Кеннета Грема “Вітер у вербах”
Джерело: “Вітер у вербах”
Автор: Євген Шляхов (Дніпро)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Сонце,"10. Жозеф ПлатО писав, що після свого експерименту 1829 року бачив кольорові гало навколо джерел світла. У експерименті Плато РОБИВ ЦЕ протягом 25 секунд.

Відповідь: дивився на Сонце.
Коментар: ще після того експерименту Плато на кілька днів втратив зір. У 1841 році він повністю осліп, але, ймовірно, внаслідок не пов’язаної з експериментом хвороби.
Джерело: https://www.newscientist.com/article/2219777-joseph-plateaus-spinning-disc-illusions-were-the-forerunner-of-cinema/
Автор: Олександр Мерзлікін (Кривий Ріг)",,,1,,,,1,,,,1,,,1,,,1,,,,,,,1,1,,,,,,,1,,,1,,,,1,,,,,,,,,1,,,1,,1,,,,,,1,,,1,,,1,,,,1,,,,,,,1,,,,1,1,,,,,1,,,,,1
8. Сонце,"20. У серіалі «Як стати тираном» дискутують з ЦІЄЮ ФРАЗОЮ, говорячи про те, що кожен правитель спирається на коло довірених осіб.

Відповідь: L'état, c'est moi.
Залік: держава – це я.
Коментар: на думку творців серіалу, навіть автор фрази Людовік XIV, відомий як Король-Сонце, не правив один.
Джерело: серіал «How To Become a Tyrant», s01e01, 19:15
Автор: Олександр Мерзлікін (Кривий Ріг)",,,1,,,,1,,,1,,,1,,,,,,,1,,,,1,,,1,,,1,,,,1,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,,,,,,1,,,,1,,,,1,,,,,,,,1,,1,
8. Сонце,"30. Дванадцятипроміневе сонце ЦЬОГО КОЛЬОРУ було створене Лу Хаодуном, соратником Сунь Ятсена.

Відповідь: біле
Коментар: Сунь Ятсен очолював Гоміндань, який евакуювався на Тайвань після програшу у громадянській війні в Китаї. Біле сонце зображене на прапорі Тайваню.
Джерело: https://web.archive.org/web/20041215040706/http://www.gio.gov.tw/info/nation/russia/1998/03/p2.htm
Автор: Євген Шляхов (Дніпро)",1,,,,,,,,,1,,-1,,,,,,,,-1,,,,-1,,,,-1,,,,,1,,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,-1
