,бій,А1,А1,А1,А1,Б1,Б1,Б1,Б1,В1,В1,В1,В1,Г1,Г1,Г1,Г1,Ґ1,Ґ1,Ґ1,Ґ1,Д1,Д1,Д1,Д1,Е1,Е1,Е1,Е1,Є1,Є1,Є1,Є1,Ж1,Ж1,Ж1,Ж1,З1,З1,З1,З1,И1,И1,И1,И1,І1,І1,І1,І1,Ї1,Ї1,Ї1,Ї1,Й1,Й1,Й1,Й1,К1,К1,К1,К1,Л1,Л1,Л1,Л1,М1,М1,М1,М1,Н1,Н1,Н1,Н1,О1,О1,О1,О1,П1,П1,П1,П1,Р1,Р1,Р1,Р1,С1,С1,С1,С1,Т1,Т1,Т1
3. Приказки і прислів’я,"10. “Де боязливому по вуха, там сміливому САМЕ ТАК”. Про який конкретно тип водойми йдеться, в прислів’ї не уточнюється. 
Відповідь: по коліна
Коментар: згідно з іншою приказкою, по коліна може бути море.
Джерело: http://igra1.com/ua/pryslivya-ta-prykazky/d/de-boyazlyvomu-po-vukha-tam-smilyvomu-po-kolina.htm
Автор: Євген Шляхов (Дніпро)",1,,,,,,1,,,,,1,1,,,,,,,1,,,1,,1,,,,,,1,,,1,,,1,,,,,,,1,,,-1,1,1,,,,,1,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,,1,,1,,,,,1
3. Приказки і прислів’я,"20. Прислів’я “Буває, що й ВОНА літає” з’явилось в українському народі задовго до появи в світі оповідок, про те як прибульці засмоктують ЇХ в летючі тарілки спеціальним променем.
Відповідь: корова.
Джерело: https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensStealCattle.
Автор: Євген Шляхов (Дніпро)",1,-1,,,-1,1,,,-1,,1,,,,1,,,-1,,1,,1,,,-1,,,1,,,1,,,,,1,1,,,,-1,,1,,,,1,,,,-1,1,1,,,-1,,1,,,,1,-1,,,1,,,,1,,,1,,,,,-1,1,-1,,1,,,,,,1,-1,1,
3. Приказки і прислів’я,"30. Роль Сірка у першій постановці ЦЬОГО ТВОРУ у 1883 році зіграв Карпенко-Карий.
Відповідь: “За двома зайцями”
Коментар: Мається на увазі Прокіп Сірко - батько Проні Прокопівни. Іван Карпенко-Карий входив до трупи автора п’єси Михайла Старицького.
Джерело: https://uk.wikipedia.org/wiki/За_двома_зайцями_(п%27єса)
Автор: Євген Шляхов (Дніпро)",,,-1,,,,,,,,,,,,,,-1,-1,,,,,1,,,,-1,,,,,,1,,,,1,,,,,,,,,,1,,,,,1,-1,1,,,,,,,,1,,,,,-1,,-1,,,,,-1,,,,,,-1,,,,,,-1,,,-1,,
3. Приказки і прислів’я,"40. Вам треба буде назвати ПЕРШУ і ДРУГУ. Прислів’я, “До ПЕРШОЇ треба ДРУГУ”, художник Володимир Карвасарний проілюстрував плакатом, на якому яблуко “першої”, помістив над костюмом замість “другої”.
Відповідь: булава, голова
Коментар: прислів’я: “до булави треба голови”. Яблуком називають круглу частину булави.
Джерело: https://shepvisnyk.com.ua/u-shepetivci-prezentuvali-vistavku-grafichnih-plakativ/
Автор: Євген Шляхов (Дніпро)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,
3. Приказки і прислів’я,"50.“Один в полі не ВІН. Не вистачає традиційних гумора і безладу”, відреагував журналіст на фільм Джоела.
Відповідь: Коен
Коментар: режисером фільму “Макбет” був тільки старший з братів Коенів - Джоел. На думку деяких критиків, робота вийшла менш вдалою ніж сумісні роботи братів.
Джерело: https://birdinflight.com/uk/kino-3/20220118-odin-v-pole-ne-koen.html?fbclid=IwAR3z1uOGiYP9_29bD4D8aelvCb8xJll7isASrzNT70C07rABFH3N1HHdjX4
Автор: Марія Шляхова (Дніпро)",,,,,,,1,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
4. Антична тема,"10. Битва при Іпсі відбулася у 301 році до нашої ери і остаточно закріпила розпад ЙОГО імперії.
Відповідь: Олександр Македонський
Джерело: https://uk.wikipedia.org/wiki/Битва_при_Іпсі
Автор: Євген Шляхов (Дніпро)",,,1,,,,,1,,,,1,,,,1,1,,,,,1,,,,1,,,,,,1,,1,,,1,,,,,1,,-1,1,,,,,-1,,,,1,,,1,,,,1,,,,1,,,,,,1,,,1,,,,,,1,1,,,,,,,,1,,
4. Антична тема,"20. Коли ВІН з Малої Азії прибув до Афін, то навіть мав з собою раба, але згодом того відпустив, як позбувся і майже всього іншого.
Відповідь: Діоген [Сінопський]
Коментар: Діоген пропагував відмову від власності 
Джерело: https://uk.wikipedia.org/wiki/Діоген_Сінопський
Автор: Євген Шляхов (Дніпро)",1,,,,,,,1,1,,,,,1,,,,,,1,,1,,,,,1,,,,,1,1,,,,1,,,,,1,,,,1,,,,,,1,,,1,,-1,1,,,,1,,,1,,,,1,,,,1,,,,,,,1,,,1,,,,1,,,1,
4. Антична тема,"30. В грецькій міфології ВІН їздив верхи на гіпокампі. Інший ВІН є найбільшим з чотирнадцяти.
Відповідь: Тритон
Коментар: гіпокамп - кінь з риб’ячим хвостом, на якому іноді зображували Тритона, сина Посейдона (Нептуна). Тритон - найбільший з супутників планети Нептун. 
Джерело: https://uk.wikipedia.org/wiki/Нептун_(планета), https://uk.wikipedia.org/wiki/Гіпокамп_(міфологія), https://www.123rf.com/photo_44981580_triton-and-hippocampus-statue-part-of-trevi-fountain-in-rome-italy.html
Автор: Євген Шляхов (Дніпро)",,1,,,,,1,,,,,1,,1,,,,,-1,,-1,,1,,,,,,,,,,,,,,,,,,,1,,,-1,,,,,1,,,,,,,,-1,,,,1,,,,,,,,,,,1,,,,,,,,,,-1,,,,,,,,
4. Антична тема,"40. Фільм “Центуріон” знімався у холодних умовах, тому актори, що грали представників ЦЬОГО ПЛЕМЕНІ в кадрі носять одяг, і переважно мають розмальованим лише обличчя.
Відповідь: пікти
Коментар: вважається, що назва “Пікти” з’явилась від латинського слова “розмальований”, адже пікти ходили майже без одягу і розмальовували все тіло. 
Джерело: https://uk.wikipedia.org/wiki/Центуріон_(фільм)
Автор: Євген Шляхов (Дніпро)",1,,,,,,,1,,,,1,,,,1,,,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,-1,,1,,,,,,,,,1,,,,-1,,,1,,,,
4. Антична тема,"50. У відповіді слово з восьми літер. Один малюнок зображує представників різних сучасних народів у вигляді античних воїнів. Українець на згаданому малюнку є САМЕ НИМ.
Відповідь: ретіарій
Не залік: гладіатор
Коментар: гладіатор озброєний тризубом
Джерело: https://scontent.fdnk2-1.fna.fbcdn.net/v/t1.6435-9/134438624_2670661186579141_2820295543160616513_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=730e14&_nc_ohc=Rc_WjHBh-6EAX8LXT0h&tn=KR77NSijkE8Zm1XV&_nc_ht=scontent.fdnk2-1.fna&oh=00_AT8SvxcADmifCl_A0IjpW50lxslmAeB4d4WykpGTTXDgBA&oe=61FB56D8  
Автор: Євген Шляхов (Дніпро)",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,-1,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1
5. Листи,"10. В кінці фільму “Листи до НЕЇ” герой зривається з виноградної лози при спробі залізти на балкон, але залишається живим і навіть отримує цілунок коханої.
Відповідь: Джул’єтта
Джерело: https://uk.wikipedia.org/wiki/Листи_до_Джульєтти
Автор: Євген Шляхов (Дніпро)",,,1,,,,1,,,1,,,,,1,,,,1,,,,,1,,,,1,,1,,-1,,,,1,,1,,,,,1,,1,,,,1,,,,-1,,,1,,,1,,,,1,,,1,,,,,1,,1,,,,,1,,,,,1,,,1,,,1,,
5. Листи,"20. Вважається, що одними з перших ЦИМ займались Гарун ар-Рашид з візантійським імператором Никифором Першим.
Відповідь: шахи за листуванням
Залік: заочні шахи
Не залік: шахи
Джерело: https://ru.wikipedia.org/wiki/Заочные_шахматы
Автор: Євген Шляхов (Дніпро)",,,1,,,,1,,1,,,,1,,,,,,,1,,1,,,1,,,,,,1,,,1,,,,1,-1,,,,,1,,,,1,,,1,,,1,,,1,,,,,1,,,,,1,,,,,1,1,,,,,,,1,1,,,,,1,,,1,-1,
5. Листи,"30. Анатолій Власюк відзначає, що у листуванні з Ольгою Рошкевич Іван Франко жодного разу не дозволив собі ЦЬОГО, проте ЗРОБИВ ЦЕ у присвяченому Ользі вірші.
Відповідь: звернення на “ти”
Коментар: вірш  “Чого являєшся мені … ”
Джерело: https://uamodna.com/articles/istoriya-kohannya-do-oljgy-roshkevych-u-lystah-ivana-franka/
Автор: Євген Шляхов (Дніпро)
",,,1,,,,1,,,1,,,1,,,,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,1,,,,,1,,1,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,1,-1,,,-1,1,,,,1,,,1,,,1,,
5. Листи,"40. Вважається, що назва ЦІЄЇ тканини, з'явилась внаслідок помилки при читанні листа, відправленого з містечка на півдні Шотландії. 
Відповідь: твід
Коментар: кордоном Англії і Шотландії протікає річка Твід. Лондонський купець, читаючи лист в якому згадувалась шотландська тканина “tweels”, вирішив, що тканину пропонують назвати “tweed” на честь місцевої річки.
Джерело: https://uk.wikipedia.org/wiki/Твід_(тканина)
Автор: Євген Шляхов (Дніпро)
",,,,,,,,,,,,,,,-1,,,,,,,,1,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Листи,"50. У 1967 році В’ячеслав Чорновіл склав збірку листів та нарисів українців, які через власне вільнодумство потрапили до радянських таборів. Назва збірки з точністю до перекладу співпадає з назвою ЦЬОГО ТВОРУ 1825 року.
Відповідь: “Лихо з розуму”
Залік: “Горе от ума”
Джерело: https://uk.wikipedia.org/wiki/Лихо_з_розуму_(збірка)
Автор: Євген Шляхов (Дніпро)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Ігри,"10. У 2013 році стався перезапуск серії ігор про Лару Крофт. Оновлена героїня починає носити спортивні штані замість шортів, а ЦЕЙ ПАРАМЕТР у Лари зменшується з чотирьох до трьох.
Відповідь: розмір грудей
Залік: розмір ліфчика
Коментар: новий образ Лари стає дещо менш сексуалізованим.
Джерело: https://uk.wikipedia.org/wiki/Лара_Крофт
Автор: Євген Шляхов (Дніпро)",,1,-1,,,,,1,,,1,,,1,,,,,1,,1,,,,,1,,,,,,1,,1,,,1,,,,1,,,,,,1,,,1,,,,,1,,,1,,,,1,,,1,,,,,,1,,,,1,,,1,,,,,1,,,1,,,,1,
6. Ігри,"20. Вчені Кіотського університету навчили шимпанзе грати в ЦЮ гру, хоча розуміння кільцевої залежності давалось тваринам не просто.
Відповідь: камінь-ножиці-папір
Джерело: https://uk.wikipedia.org/wiki/Камінь-ножиці-папір
Автор: Євген Шляхов (Дніпро)",,1,,-1,,1,,,1,,,,,1,,,,,-1,,,,,1,-1,-1,,-1,,1,,,-1,,,,1,,,,,1,,,,,1,,1,,,,,,,,,1,,,-1,,1,-1,1,-1,,,,-1,,,,,,,,,,,,,-1,,1,,,,,,-1
6. Ігри,"30. Брат ЦЬОГО ЗАСНОВНИКА ТЕОРІЇ ІГОР після переїзду до США обрав інше прізвище, зупинившись на варіанті з “new” [нью].
Відповідь: [Джон Фон] Нейман
Коментар: прізвище Neumann складається з німецьких слів “нова людина”, переїхавши до США Януш Нейман змінив ім’я на Джон, а прізвище залишив без змін. А ось його брат переклав прізвище й іменувався Newman [Ньюмен]
Джерело: https://uk.wikipedia.org/wiki/Джон_фон_Нейман
Автор: Євген Шляхов (Дніпро)",,,,,,1,,,,,,,,-1,,,1,,,,1,,,,,,,1,,,,,,,,-1,1,,-1,,1,,,,1,,,,,,,1,1,,,-1,,,,,-1,1,,,,,-1,,,,1,,-1,1,,,,,,-1,,,,,,,,,,1,
6. Ігри,"40. У відповіді слово з чотирьох, або з п’яти літер. Турецькою ВОНА називається “кале” - “замок”, угорською “бастя” - “бастіон”
Відповідь: тура
Залік: ладдя
Джерело: https://uk.wikipedia.org/wiki/Тура
Автор: Євген Шляхов (Дніпро)
",,,,,1,,,,,,1,,,,,1,,,1,,1,,,,,,1,,,,1,,,1,,,,,,-1,,1,,,-1,,,1,,,,1,,,1,,,,1,,,1,-1,,,,1,,,-1,,1,,,,,,-1,,,,,,1,1,,,,,,1
6. Ігри,"50. Саме ЇЇ тримає в руках чоловік на картині “Марш сталевих опудал”, написаній сучасним польським художником
Відповідь: коса
Коментар: художник - Якуб Розальски відомий серією картин, на яких бойові роботи зображені на тлі аграрних пейзажей. Дії настільної гри “Коса” відбуваються в світі картин Якуба.
Джерело: https://www.mutualart.com/Artwork/The-march-of-the-iron-scarecrows/E3EE36480DD4FC2A, https://domigr.com.ua/ua/aksessuary-cat/scythe-kosa-art-book.php 
Автор: Євген Шляхов (Дніпро)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,
7. С. С.,"10. У 286 році ЙОГО виходила Ірина Римська, але вже за рік ЙОГО забили палицями.

Відповідь: святий Себастьян.
Коментар: багато хто помилково вважає, начебто святий Себастьян помер від стріл. Насправді тоді він вижив, але життя його нічого не навчило
Джерело: https://en.wikipedia.org/wiki/Saint_Sebastian
Автор: Олександр Мерзлікін (Кривий Ріг)",-1,,,1,1,,,,,-1,,1,,1,,,-1,,,1,1,-1,,,,1,,,,,,,1,,,,,,,,1,,,,-1,,1,,1,,,,,1,,,,,,1,,1,,,,,,,-1,,1,,1,,,,,,,,,,,,,-1,,,,,
7. С. С.,"20. Коли авторам сценарію здалося, що персонажі виходять занадто правильними і нудними, вирішили додати ЙОГО і попросили Тосіро Міфуне побільше імпровізувати.

Відповідь: сьомий самурай.
Коментар: спочатку планувалося, що самураїв буде шість, але всі вони вийшли занадто правильними, тож Курасава зі сценаристами вирішили додати сьомого. І не помилилися.
Джерело: https://books.google.com.ua/books?id=Q684DgAAQBAJ&pg=PT147&lpg=PT147
Автор: Олександр Мерзлікін (Кривий Ріг)",,,1,,,1,,,1,,,,,,,1,1,,,,,,,1,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,-1,,,,,1,,,1,,,,,,-1,1,,,,,-1,1
7. С. С.,"30. Музикант Шред грає відомий твір у мажорній тональності замість мінорної. Шред називає свою композицію НЕЮ.

Відповідь: сонячна соната.
Коментар: музикант зробив Місячну сонату Бетговена дещо позитивнішою.
Джерела:
1. https://www.youtube.com/watch?v=UR6kYPwAeGc
2. https://en.wikipedia.org/wiki/Piano_Sonata_No._14_(Beethoven)
Автор: Олександр Мерзлікін (Кривий Ріг)",,,1,,1,,,,,,,1,,1,,,1,,,,,,1,,,,,1,,,,,,1,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,,,1,,1,,,-1,,,,,1,-1,,,1,,
7. С. С.,"40. Приводом для НЕЇ стало планування замаху на Косіора та участь в неіснуючій Українській фашистській націоналістичній терористичній організації, а могли б і до псевдоніма причепитися.

Відповідь: страта Семенка.
Залік: справа Семенка
Коментар: звісно, ніякого замаху Семенко не планував, а Української фашистської націоналістичної терористичної організації ніколи не існувало. Під тортурами Семенко у всьому зізнався і був страчений 24 жовтня 1937 року. З такою базою обвинувачень НКВС могли б доколупатися і до «хайль» в імені «Михайль».
Джерело: https://uk.wikipedia.org/wiki/Михайль_Семенко#Арешт_і_страта
Автор: Олександр Мерзлікін (Кривий Ріг)",,,,1,,,,,,,,,,1,-1,,,,,-1,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,-1,
7. С. С.,"50. У сучасному фантастичному оповіданні під назвою «ТАКИЙ ВІН» Інститут кібернетики НАН України в співпраці з Центром нанотехнологій розв’язали проблему дефіциту. Невелика кількість ТАКОГО ЙОГО випадково потрапила в росію, де розробку не змогли контролювати.

Відповідь: соляний слиз.
Залік: сольовий слиз.
Коментар: у цьому оповіданні нанороботи, що виробляють сіль, потрапили до Рубцовська, звідки почали неконтрольовано поширюватися, поступово переробляючи всю росію на сіль. Такий сценарій кінця світу відомий як «сірий слиз», відсилкою до чого і є назва оповідання. Насправді для роботи таких нанороботів потрібно чимало енергії, тому темпи їхнього поширення не такі катастрофічні, як це уявляли фантасти 80-х, а пустелі й великі водойми стали б для соляного слизу непереборними перешкодами. Менш з тим, голова МНС росії, що особисто прилетів до Рубцовська, перетворився на соляний стовп вже за два тижні, встигнувши перед тим передати нанороботів іншим членам уряду й особисто бункерному диктатору. Цим запитанням ми передаємо привіт автору відомої збірки постмодерністських оповідань, а за сумісництвом чинному чемпіону Швагер-ліги.
Джерело: Кім Дрекслеренко. Соляний слиз
Автор: Олександр Мерзлікін (Кривий Ріг)
",,,,-1,,,,,,,,-1,,-1,,,,,,,,,,-1,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,
